title,authors,original_publication_year
"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,2008
"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)","J.K. Rowling, Mary GrandPré",1997
"Twilight (Twilight, #1)",Stephenie Meyer,2005
To Kill a Mockingbird,Harper Lee,1960
The Great Gatsby,F. Scott Fitzgerald,1925
The Fault in Our Stars,John Green,2012
The Hobbit,J.R.R. Tolkien,1937
The Catcher in the Rye,J.D. Salinger,1951
"Angels & Demons  (Robert Langdon, #1)",Dan Brown,2000
Pride and Prejudice,Jane Austen,1813
The Kite Runner,Khaled Hosseini,2003
"Divergent (Divergent, #1)",Veronica Roth,2011
1984,"George Orwell, Erich Fromm, Celâl Üster",1949
Animal Farm,George Orwell,1945
The Diary of a Young Girl,"Anne Frank, Eleanor Roosevelt, B.M. Mooyaart-Doubleday",1947
"The Girl with the Dragon Tattoo (Millennium, #1)","Stieg Larsson, Reg Keeland",2005
"Catching Fire (The Hunger Games, #2)",Suzanne Collins,2009
"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)","J.K. Rowling, Mary GrandPré, Rufus Beck",1999
"The Fellowship of the Ring (The Lord of the Rings, #1)",J.R.R. Tolkien,1954
"Mockingjay (The Hunger Games, #3)",Suzanne Collins,2010
"Harry Potter and the Order of the Phoenix (Harry Potter, #5)","J.K. Rowling, Mary GrandPré",2003
The Lovely Bones,Alice Sebold,2002
"Harry Potter and the Chamber of Secrets (Harry Potter, #2)","J.K. Rowling, Mary GrandPré",1998
"Harry Potter and the Goblet of Fire (Harry Potter, #4)","J.K. Rowling, Mary GrandPré",2000
"Harry Potter and the Deathly Hallows (Harry Potter, #7)","J.K. Rowling, Mary GrandPré",2007
"The Da Vinci Code (Robert Langdon, #2)",Dan Brown,2003
"Harry Potter and the Half-Blood Prince (Harry Potter, #6)","J.K. Rowling, Mary GrandPré",2005
Lord of the Flies,William Golding,1954
Romeo and Juliet,"William Shakespeare, Robert           Jackson",1595
Gone Girl,Gillian Flynn,2012
The Help,Kathryn Stockett,2009
Of Mice and Men,John Steinbeck,1937
Memoirs of a Geisha,Arthur Golden,1997
"Fifty Shades of Grey (Fifty Shades, #1)",E.L. James,2011
The Alchemist,"Paulo Coelho, Alan R. Clarke",1988
"The Giver (The Giver, #1)",Lois Lowry,1993
"The Lion, the Witch, and the Wardrobe (Chronicles of Narnia, #1)",C.S. Lewis,1950
The Time Traveler's Wife,Audrey Niffenegger,2003
"A Game of Thrones (A Song of Ice and Fire, #1)",George R.R. Martin,1996
"Eat, Pray, Love",Elizabeth Gilbert,2006
"The Lightning Thief (Percy Jackson and the Olympians, #1)",Rick Riordan,2005
"Little Women (Little Women, #1)",Louisa May Alcott,1868
Jane Eyre,"Charlotte Brontë, Michael Mason",1847
"The Notebook (The Notebook, #1)",Nicholas Sparks,1996
Life of Pi,Yann Martel,2001
Water for Elephants,Sara Gruen,2006
The Book Thief,Markus Zusak,2005
Fahrenheit 451,Ray Bradbury,1953
"New Moon (Twilight, #2)",Stephenie Meyer,2006
Where the Sidewalk Ends,Shel Silverstein,1974
"City of Bones (The Mortal Instruments, #1)",Cassandra Clare,2007
"Eclipse (Twilight, #3)",Stephenie Meyer,2007
"Eragon (The Inheritance Cycle, #1)",Christopher Paolini,2002
"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",Douglas Adams,1979
Brave New World,Aldous Huxley,1932
"Breaking Dawn (Twilight, #4)",Stephenie Meyer,2008
The Secret Life of Bees,Sue Monk Kidd,2001
The Adventures of Huckleberry Finn,"Mark Twain, John Seelye, Guy Cardwell",1884
Charlotte's Web,"E.B. White, Garth Williams, Rosemary Wells",1952
The Curious Incident of the Dog in the Night-Time,Mark Haddon,2003
The Girl on the Train,Paula Hawkins,2015
"The Golden Compass (His Dark Materials, #1)",Philip Pullman,1995
Wuthering Heights,"Emily Brontë, Richard J. Dunn",1847
My Sister's Keeper,Jodi Picoult,2004
Slaughterhouse-Five,Kurt Vonnegut Jr.,1969
Gone with the Wind,Margaret Mitchell,1936
A Thousand Splendid Suns,Khaled Hosseini,2007
The Perks of Being a Wallflower,Stephen Chbosky,1999
"Insurgent (Divergent, #2)",Veronica Roth,2012
"Ender's Game (Ender's Saga, #1)",Orson Scott Card,1985
Frankenstein,"Mary Wollstonecraft Shelley, Percy Bysshe Shelley, Maurice Hindle",1818
The Shining (The Shining #1),Stephen King,1977
"The Host (The Host, #1)",Stephenie Meyer,2008
Looking for Alaska,John Green,2005
"Bridget Jones's Diary (Bridget Jones, #1)",Helen Fielding,1996
Sense and Sensibility,"Jane Austen, Tony Tanner, Ros Ballaster",1811
"Holes (Holes, #1)","Louis Sachar, Louis Sachar",1998
"The Devil Wears Prada (The Devil Wears Prada, #1)",Lauren Weisberger,2003
The Odyssey,"Homer, Robert Fagles, E.V. Rieu, Frédéric Mugler, Bernard Knox",-720
The Little Prince,"Antoine de Saint-Exupéry, Richard Howard, Dom Marcos Barbosa, Melina Karakosta",1946
The Glass Castle,Jeannette Walls,2005
Into the Wild,Jon Krakauer,1996
A Tale of Two Cities,"Charles Dickens, Richard Maxwell, Hablot Knight Browne",1859
"Jurassic Park (Jurassic Park, #1)",Michael Crichton,1990
The Giving Tree,Shel Silverstein,1964
A Time to Kill,John Grisham,1989
Night (The Night Trilogy #1),"Elie Wiesel, Marion Wiesel",1958
Paper Towns,John Green,2008
The Princess Bride ,William Goldman,1973
The Outsiders,S.E. Hinton,1967
"The Maze Runner (Maze Runner, #1)",James Dashner,2009
"Freakonomics: A Rogue Economist Explores the Hidden Side of Everything (Freakonomics, #1)","Steven D. Levitt, Stephen J. Dubner",2005
The Secret Garden,Frances Hodgson Burnett,1911
One Hundred Years of Solitude,"Gabriel García Márquez, Gregory Rabassa",1967
